DATE,Month,Year,USACPGRLE01IXOBSAM
1/1/1960,1,1960,12.59048118
2/1/1960,2,1960,12.63176145
3/1/1960,3,1960,12.63176145
4/1/1960,4,1960,12.63176145
5/1/1960,5,1960,12.63176145
6/1/1960,6,1960,12.67304172
7/1/1960,7,1960,12.63176145
8/1/1960,8,1960,12.63176145
9/1/1960,9,1960,12.63176145
10/1/1960,10,1960,12.71432198
11/1/1960,11,1960,12.71432198
12/1/1960,12,1960,12.67304172
1/1/1961,1,1961,12.71432198
2/1/1961,2,1961,12.71432198
3/1/1961,3,1961,12.75560225
4/1/1961,4,1961,12.75560225
5/1/1961,5,1961,12.75560225
6/1/1961,6,1961,12.79688251
7/1/1961,7,1961,12.79688251
8/1/1961,8,1961,12.83816278
9/1/1961,9,1961,12.83816278
10/1/1961,10,1961,12.83816278
11/1/1961,11,1961,12.87944305
12/1/1961,12,1961,12.87944305
1/1/1962,1,1962,12.87944305
2/1/1962,2,1962,12.87944305
3/1/1962,3,1962,12.92072331
4/1/1962,4,1962,12.92072331
5/1/1962,5,1962,12.96200358
6/1/1962,6,1962,12.96200358
7/1/1962,7,1962,12.96200358
8/1/1962,8,1962,13.00328385
9/1/1962,9,1962,13.00328385
10/1/1962,10,1962,13.00328385
11/1/1962,11,1962,13.00328385
12/1/1962,12,1962,13.04456411
1/1/1963,1,1963,13.00328385
2/1/1963,2,1963,13.04456411
3/1/1963,3,1963,13.08584438
4/1/1963,4,1963,13.08584438
5/1/1963,5,1963,13.08584438
6/1/1963,6,1963,13.12712464
7/1/1963,7,1963,13.12712464
8/1/1963,8,1963,13.16840491
9/1/1963,9,1963,13.16840491
10/1/1963,10,1963,13.20968518
11/1/1963,11,1963,13.20968518
12/1/1963,12,1963,13.25096544
1/1/1964,1,1964,13.29224571
2/1/1964,2,1964,13.29224571
3/1/1964,3,1964,13.29224571
4/1/1964,4,1964,13.29224571
5/1/1964,5,1964,13.29224571
6/1/1964,6,1964,13.33352597
7/1/1964,7,1964,13.33352597
8/1/1964,8,1964,13.33352597
9/1/1964,9,1964,13.33352597
10/1/1964,10,1964,13.37480624
11/1/1964,11,1964,13.41608651
12/1/1964,12,1964,13.41608651
1/1/1965,1,1965,13.45736677
2/1/1965,2,1965,13.45736677
3/1/1965,3,1965,13.45736677
4/1/1965,4,1965,13.49864704
5/1/1965,5,1965,13.49864704
6/1/1965,6,1965,13.49864704
7/1/1965,7,1965,13.49864704
8/1/1965,8,1965,13.49864704
9/1/1965,9,1965,13.53992731
10/1/1965,10,1965,13.53992731
11/1/1965,11,1965,13.58120757
12/1/1965,12,1965,13.62248784
1/1/1966,1,1966,13.62248784
2/1/1966,2,1966,13.6637681
3/1/1966,3,1966,13.6637681
4/1/1966,4,1966,13.74632864
5/1/1966,5,1966,13.7876089
6/1/1966,6,1966,13.82888917
7/1/1966,7,1966,13.87016943
8/1/1966,8,1966,13.9114497
9/1/1966,9,1966,13.95272997
10/1/1966,10,1966,14.0352905
11/1/1966,11,1966,14.0352905
12/1/1966,12,1966,14.07657077
1/1/1967,1,1967,14.11785103
2/1/1967,2,1967,14.11785103
3/1/1967,3,1967,14.1591313
4/1/1967,4,1967,14.20041156
5/1/1967,5,1967,14.24169183
6/1/1967,6,1967,14.2829721
7/1/1967,7,1967,14.32425236
8/1/1967,8,1967,14.4068129
9/1/1967,9,1967,14.44809316
10/1/1967,10,1967,14.48937343
11/1/1967,11,1967,14.53065369
12/1/1967,12,1967,14.61321423
1/1/1968,1,1968,14.65449449
2/1/1968,2,1968,14.73705502
3/1/1968,3,1968,14.77833529
4/1/1968,4,1968,14.81961556
5/1/1968,5,1968,14.86089582
6/1/1968,6,1968,14.94345636
7/1/1968,7,1968,15.02601689
8/1/1968,8,1968,15.06729715
9/1/1968,9,1968,15.14985769
10/1/1968,10,1968,15.23241822
11/1/1968,11,1968,15.31497875
12/1/1968,12,1968,15.35625902
1/1/1969,1,1969,15.39753928
2/1/1969,2,1969,15.52138008
3/1/1969,3,1969,15.60394061
4/1/1969,4,1969,15.72778141
5/1/1969,5,1969,15.72778141
6/1/1969,6,1969,15.81034195
7/1/1969,7,1969,15.89290248
8/1/1969,8,1969,15.97546301
9/1/1969,9,1969,16.05802354
10/1/1969,10,1969,16.14058407
11/1/1969,11,1969,16.18186434
12/1/1969,12,1969,16.26442487
1/1/1970,1,1970,16.34698541
2/1/1970,2,1970,16.42954594
3/1/1970,3,1970,16.55338674
4/1/1970,4,1970,16.67722753
5/1/1970,5,1970,16.7185078
6/1/1970,6,1970,16.8423486
7/1/1970,7,1970,16.88362887
8/1/1970,8,1970,16.9661894
9/1/1970,9,1970,17.04874993
10/1/1970,10,1970,17.13131046
11/1/1970,11,1970,17.25515126
12/1/1970,12,1970,17.33771179
1/1/1971,1,1971,17.37899206
2/1/1971,2,1971,17.42027233
3/1/1971,3,1971,17.42027233
4/1/1971,4,1971,17.50283286
5/1/1971,5,1971,17.58539339
6/1/1971,6,1971,17.66795392
7/1/1971,7,1971,17.70923419
8/1/1971,8,1971,17.75051446
9/1/1971,9,1971,17.75051446
10/1/1971,10,1971,17.79179472
11/1/1971,11,1971,17.83307499
12/1/1971,12,1971,17.87435525
1/1/1972,1,1972,17.95691579
2/1/1972,2,1972,17.99819605
3/1/1972,3,1972,17.99819605
4/1/1972,4,1972,18.08075658
5/1/1972,5,1972,18.12203685
6/1/1972,6,1972,18.16331712
7/1/1972,7,1972,18.20459738
8/1/1972,8,1972,18.28715792
9/1/1972,9,1972,18.28715792
10/1/1972,10,1972,18.32843818
11/1/1972,11,1972,18.32843818
12/1/1972,12,1972,18.41099871
1/1/1973,1,1973,18.41099871
2/1/1973,2,1973,18.49355925
3/1/1973,3,1973,18.57611978
4/1/1973,4,1973,18.61740004
5/1/1973,5,1973,18.69996058
6/1/1973,6,1973,18.74124084
7/1/1973,7,1973,18.78252111
8/1/1973,8,1973,18.86508164
9/1/1973,9,1973,18.98892244
10/1/1973,10,1973,19.11276324
11/1/1973,11,1973,19.19532377
12/1/1973,12,1973,19.2778843
1/1/1974,1,1974,19.36044484
2/1/1974,2,1974,19.48428563
3/1/1974,3,1974,19.6494067
4/1/1974,4,1974,19.7732475
5/1/1974,5,1974,20.02092909
6/1/1974,6,1974,20.22733043
7/1/1974,7,1974,20.43373176
8/1/1974,8,1974,20.72269362
9/1/1974,9,1974,20.92909495
10/1/1974,10,1974,21.13549628
11/1/1974,11,1974,21.30061735
12/1/1974,12,1974,21.46573841
1/1/1975,1,1975,21.58957921
2/1/1975,2,1975,21.79598054
3/1/1975,3,1975,21.87854107
4/1/1975,4,1975,22.00238187
5/1/1975,5,1975,22.0849424
6/1/1975,6,1975,22.2087832
7/1/1975,7,1975,22.29134373
8/1/1975,8,1975,22.37390427
9/1/1975,9,1975,22.49774507
10/1/1975,10,1975,22.62158586
11/1/1975,11,1975,22.78670693
12/1/1975,12,1975,22.91054773
1/1/1976,1,1976,23.07566879
2/1/1976,2,1976,23.19950959
3/1/1976,3,1976,23.32335039
4/1/1976,4,1976,23.40591092
5/1/1976,5,1976,23.52975172
6/1/1976,6,1976,23.61231225
7/1/1976,7,1976,23.77743332
8/1/1976,8,1976,23.90127412
9/1/1976,9,1976,24.02511491
10/1/1976,10,1976,24.14895571
11/1/1976,11,1976,24.23151624
12/1/1976,12,1976,24.31407678
1/1/1977,1,1977,24.47919784
2/1/1977,2,1977,24.64431891
3/1/1977,3,1977,24.76815971
4/1/1977,4,1977,24.8920005
5/1/1977,5,1977,25.0158413
6/1/1977,6,1977,25.18096237
7/1/1977,7,1977,25.2635229
8/1/1977,8,1977,25.3873637
9/1/1977,9,1977,25.5112045
10/1/1977,10,1977,25.59376503
11/1/1977,11,1977,25.71760583
12/1/1977,12,1977,25.88272689
1/1/1978,1,1978,26.04784796
2/1/1978,2,1978,26.17168876
3/1/1978,3,1978,26.33680982
4/1/1978,4,1978,26.54321115
5/1/1978,5,1978,26.70833222
6/1/1978,6,1978,26.91473355
7/1/1978,7,1978,27.07985461
8/1/1978,8,1978,27.28625594
9/1/1978,9,1978,27.53393754
10/1/1978,10,1978,27.74033887
11/1/1978,11,1978,27.90545993
12/1/1978,12,1978,28.070581
1/1/1979,1,1979,28.27698233
2/1/1979,2,1979,28.56594419
3/1/1979,3,1979,28.81362579
4/1/1979,4,1979,29.02002712
5/1/1979,5,1979,29.22642845
6/1/1979,6,1979,29.43282978
7/1/1979,7,1979,29.68051138
8/1/1979,8,1979,30.01075351
9/1/1979,9,1979,30.25843511
10/1/1979,10,1979,30.54739697
11/1/1979,11,1979,30.8776391
12/1/1979,12,1979,31.24916149
1/1/1980,1,1980,31.66196416
2/1/1980,2,1980,31.99220629
3/1/1980,3,1980,32.44628921
4/1/1980,4,1980,32.81781161
5/1/1980,5,1980,33.06549321
6/1/1980,6,1980,33.4370156
7/1/1980,7,1980,33.35445507
8/1/1980,8,1980,33.5608564
9/1/1980,9,1980,33.89109853
10/1/1980,10,1980,34.26262093
11/1/1980,11,1980,34.63414332
12/1/1980,12,1980,35.04694598
1/1/1981,1,1981,35.25334731
2/1/1981,2,1981,35.45974864
3/1/1981,3,1981,35.66614998
4/1/1981,4,1981,35.91383157
5/1/1981,5,1981,36.2440737
6/1/1981,6,1981,36.57431583
7/1/1981,7,1981,37.06967903
8/1/1981,8,1981,37.44120142
9/1/1981,9,1981,37.89528435
10/1/1981,10,1981,38.01912515
11/1/1981,11,1981,38.18424621
12/1/1981,12,1981,38.39064754
1/1/1982,1,1982,38.51448834
2/1/1982,2,1982,38.72088967
3/1/1982,3,1982,38.76216994
4/1/1982,4,1982,39.09241207
5/1/1982,5,1982,39.38137393
6/1/1982,6,1982,39.67033579
7/1/1982,7,1982,39.91801739
8/1/1982,8,1982,40.08313846
9/1/1982,9,1982,40.12441872
10/1/1982,10,1982,40.24825952
11/1/1982,11,1982,40.16569899
12/1/1982,12,1982,40.12441872
1/1/1983,1,1983,40.28953979
2/1/1983,2,1983,40.45466085
3/1/1983,3,1983,40.53722138
4/1/1983,4,1983,40.70234245
5/1/1983,5,1983,40.82618325
6/1/1983,6,1983,40.95002405
7/1/1983,7,1983,41.19770564
8/1/1983,8,1983,41.32154644
9/1/1983,9,1983,41.48666751
10/1/1983,10,1983,41.69306884
11/1/1983,11,1983,41.89947017
12/1/1983,12,1983,42.02331097
1/1/1984,1,1984,42.31227283
2/1/1984,2,1984,42.43611363
3/1/1984,3,1984,42.60123469
4/1/1984,4,1984,42.80763602
5/1/1984,5,1984,42.97275709
6/1/1984,6,1984,43.13787815
7/1/1984,7,1984,43.34427948
8/1/1984,8,1984,43.50940055
9/1/1984,9,1984,43.67452161
10/1/1984,10,1984,43.83964268
11/1/1984,11,1984,43.92220321
12/1/1984,12,1984,44.08732428
1/1/1985,1,1985,44.21116507
2/1/1985,2,1985,44.45884667
3/1/1985,3,1985,44.62396774
4/1/1985,4,1985,44.74780853
5/1/1985,5,1985,44.9129296
6/1/1985,6,1985,45.0367704
7/1/1985,7,1985,45.1606112
8/1/1985,8,1985,45.32573226
9/1/1985,9,1985,45.40829279
10/1/1985,10,1985,45.61469412
11/1/1985,11,1985,45.86237572
12/1/1985,12,1985,45.98621652
1/1/1986,1,1986,46.19261785
2/1/1986,2,1986,46.31645865
3/1/1986,3,1986,46.44029945
4/1/1986,4,1986,46.60542051
5/1/1986,5,1986,46.68798104
6/1/1986,6,1986,46.81182184
7/1/1986,7,1986,46.97694291
8/1/1986,8,1986,47.14206397
9/1/1986,9,1986,47.30718504
10/1/1986,10,1986,47.4723061
11/1/1986,11,1986,47.5961469
12/1/1986,12,1986,47.7199877
1/1/1987,1,1987,47.8438285
2/1/1987,2,1987,47.9676693
3/1/1987,3,1987,48.13279036
4/1/1987,4,1987,48.42175222
5/1/1987,5,1987,48.58687329
6/1/1987,6,1987,48.66943382
7/1/1987,7,1987,48.83455489
8/1/1987,8,1987,48.99967595
9/1/1987,9,1987,49.20607728
